epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.1481,0.95871,2.14998,1.48793,0.2137,0.70607,0.32887,0.24919,0.86579,1.96768,1.59966,0.0671692,0.000331624,0.000331624
2,121.274,0.86516,1.72394,1.39281,0.33415,0.70495,0.41254,0.32689,0.79036,1.5437,1.54549,0.0341691,0.000664846,0.000664846
3,176.352,0.81676,1.62409,1.34476,0.34385,0.64227,0.42785,0.32637,0.85376,1.44301,1.62718,0.00116856,0.00099762,0.00099762
4,231.585,0.79696,1.58624,1.34019,0.28849,0.70782,0.42261,0.34814,0.66931,1.39884,1.40566,0.000998489,0.000998489,0.000998489
5,286.664,0.77853,1.53557,1.32106,0.35262,0.69334,0.45268,0.37178,0.67214,1.56075,1.42578,0.000997316,0.000997316,0.000997316
6,341.744,0.73073,1.49142,1.28191,0.41015,0.65579,0.52318,0.44515,0.59239,1.22687,1.28037,0.000995808,0.000995808,0.000995808
7,396.952,0.70141,1.46635,1.26291,0.41674,0.6755,0.51421,0.43254,0.59338,1.26548,1.27852,0.000993967,0.000993967,0.000993967
8,451.657,0.70374,1.43458,1.25925,0.43487,0.64073,0.52246,0.43524,0.61959,1.31125,1.3721,0.000991795,0.000991795,0.000991795
9,506.529,0.68781,1.42668,1.2517,0.44967,0.67697,0.56499,0.46436,0.67438,1.1664,1.37838,0.000989292,0.000989292,0.000989292
10,561.282,0.68041,1.41291,1.24635,0.41817,0.67394,0.56148,0.48824,0.53191,1.14762,1.23514,0.000986461,0.000986461,0.000986461
11,616.373,0.68326,1.38612,1.24263,0.45715,0.68379,0.58789,0.50439,0.5801,1.09327,1.26977,0.000983304,0.000983304,0.000983304
12,671.727,0.66713,1.38454,1.23417,0.48957,0.65265,0.56214,0.49029,0.53862,1.12781,1.23214,0.000979822,0.000979822,0.000979822
13,727.149,0.65489,1.36854,1.22227,0.48823,0.61346,0.59584,0.52337,0.52814,1.09267,1.20345,0.000976018,0.000976018,0.000976018
14,782.098,0.65699,1.34971,1.22442,0.38913,0.67434,0.56371,0.48602,0.5879,1.25486,1.26127,0.000971894,0.000971894,0.000971894
15,837.195,0.63996,1.3377,1.21439,0.47333,0.65156,0.60005,0.51793,0.55759,1.11192,1.2688,0.000967454,0.000967454,0.000967454
16,892.319,0.63194,1.33434,1.20939,0.49865,0.70766,0.63017,0.55274,0.52438,1.03342,1.21119,0.000962701,0.000962701,0.000962701
17,947.501,0.62914,1.32001,1.20825,0.51643,0.63865,0.6136,0.53094,0.56533,1.09286,1.24282,0.000957637,0.000957637,0.000957637
18,1002.63,0.63483,1.32729,1.21329,0.52183,0.67396,0.62211,0.54698,0.51923,1.06708,1.20354,0.000952267,0.000952267,0.000952267
19,1057.83,0.63157,1.31663,1.20745,0.56907,0.67707,0.66214,0.58663,0.50602,1.00947,1.1764,0.000946593,0.000946593,0.000946593
20,1112.83,0.63157,1.29624,1.20781,0.49153,0.69337,0.62739,0.54506,0.55186,1.08342,1.21495,0.00094062,0.00094062,0.00094062
21,1168.1,0.61527,1.28255,1.19528,0.53782,0.67161,0.63626,0.56277,0.49151,1.10058,1.1639,0.000934352,0.000934352,0.000934352
22,1223.23,0.61488,1.27534,1.19708,0.57347,0.69543,0.67116,0.57789,0.57022,1.02752,1.28254,0.000927794,0.000927794,0.000927794
23,1278.85,0.60875,1.25519,1.19109,0.56413,0.68433,0.67936,0.59633,0.52103,1.00569,1.19746,0.000920949,0.000920949,0.000920949
24,1334.15,0.61127,1.26342,1.19082,0.59254,0.69869,0.68385,0.60785,0.48781,1.00075,1.16501,0.000913822,0.000913822,0.000913822
25,1389.32,0.60286,1.24195,1.18986,0.57212,0.65135,0.65762,0.58466,0.48678,1.06843,1.16341,0.000906418,0.000906418,0.000906418
26,1444.65,0.59681,1.23545,1.18199,0.58873,0.70625,0.69459,0.62299,0.46587,0.9653,1.15018,0.000898743,0.000898743,0.000898743
27,1500.13,0.5938,1.2253,1.17901,0.59215,0.66324,0.67049,0.59003,0.50699,0.99806,1.19056,0.000890802,0.000890802,0.000890802
28,1555.16,0.59723,1.2232,1.18047,0.58757,0.71974,0.70263,0.62176,0.50004,0.9734,1.18669,0.000882599,0.000882599,0.000882599
29,1610.34,0.58549,1.21179,1.17466,0.62208,0.70419,0.70604,0.6248,0.50077,0.92608,1.16906,0.000874141,0.000874141,0.000874141
30,1665.18,0.59154,1.21577,1.17581,0.59912,0.72655,0.71265,0.63594,0.47563,0.918,1.15826,0.000865433,0.000865433,0.000865433
31,1720.68,0.58344,1.21528,1.17425,0.56986,0.69759,0.68991,0.60933,0.5025,0.95857,1.18014,0.000856482,0.000856482,0.000856482
32,1776.09,0.5839,1.20127,1.16936,0.61648,0.67508,0.7009,0.6251,0.49026,0.95197,1.15776,0.000847294,0.000847294,0.000847294
33,1831.54,0.58208,1.19342,1.16811,0.59521,0.7017,0.69562,0.61764,0.49682,0.93899,1.18219,0.000837874,0.000837874,0.000837874
34,1886.85,0.5734,1.18275,1.16719,0.61715,0.70746,0.71559,0.63833,0.49033,0.90567,1.16213,0.00082823,0.00082823,0.00082823
35,1942.42,0.58009,1.18197,1.1737,0.65368,0.67125,0.72034,0.63512,0.50725,0.91299,1.17077,0.000818367,0.000818367,0.000818367
36,1997.54,0.57179,1.17258,1.1631,0.66121,0.68164,0.72522,0.65373,0.45898,0.91581,1.13516,0.000808293,0.000808293,0.000808293
37,2052.86,0.56076,1.15983,1.15893,0.61686,0.71066,0.73369,0.66109,0.45855,0.90193,1.12363,0.000798015,0.000798015,0.000798015
38,2107.98,0.5752,1.16398,1.16428,0.66124,0.6775,0.73366,0.65724,0.47396,0.88861,1.13881,0.000787539,0.000787539,0.000787539
39,2163.23,0.56407,1.14845,1.15838,0.63378,0.7185,0.73641,0.65955,0.47366,0.88155,1.15574,0.000776873,0.000776873,0.000776873
40,2218.37,0.56483,1.14831,1.15625,0.64592,0.70437,0.74032,0.66822,0.45441,0.86484,1.12267,0.000766024,0.000766024,0.000766024
41,2273.64,0.56383,1.13139,1.15467,0.6154,0.7303,0.73348,0.66291,0.45103,0.89294,1.11459,0.000755,0.000755,0.000755
42,2328.98,0.56331,1.14001,1.15629,0.64105,0.71323,0.74084,0.66731,0.45881,0.86372,1.12427,0.000743808,0.000743808,0.000743808
43,2384.24,0.5525,1.12308,1.1513,0.63506,0.72138,0.74781,0.67396,0.46136,0.88271,1.13055,0.000732455,0.000732455,0.000732455
