epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.1073,0.91136,1.97274,1.43699,0.1687,0.63079,0.27683,0.17193,1.22037,2.81027,2.3922,0.0671692,0.000331624,0.000331624
2,108.316,0.86096,1.71065,1.39034,0.28636,0.63575,0.37159,0.26423,1.03652,1.95523,1.89767,0.0341691,0.000664846,0.000664846
3,158.969,0.80946,1.62204,1.34296,0.31313,0.63089,0.4041,0.3036,0.94943,1.57828,1.72453,0.00116856,0.00099762,0.00099762
4,209.279,0.77929,1.57898,1.3256,0.3713,0.6266,0.47061,0.38268,0.69094,1.3598,1.40274,0.000998489,0.000998489,0.000998489
5,259.889,0.7578,1.52994,1.30571,0.38211,0.66706,0.49891,0.41144,0.69851,1.28216,1.36931,0.000997316,0.000997316,0.000997316
6,310.173,0.71004,1.48249,1.26875,0.41666,0.67735,0.52267,0.43369,0.67176,1.25652,1.34706,0.000995808,0.000995808,0.000995808
7,360.544,0.68943,1.45205,1.25592,0.4014,0.68268,0.53437,0.45624,0.59444,1.24377,1.29379,0.000993967,0.000993967,0.000993967
8,411.119,0.67923,1.41905,1.24255,0.41851,0.64631,0.50051,0.41948,0.67718,1.34133,1.34168,0.000991795,0.000991795,0.000991795
9,461.42,0.67187,1.4158,1.24059,0.45542,0.68723,0.57347,0.47192,0.70784,1.22348,1.3902,0.000989292,0.000989292,0.000989292
10,511.714,0.66726,1.40237,1.23743,0.44395,0.70944,0.59386,0.49994,0.62685,1.10815,1.31043,0.000986461,0.000986461,0.000986461
11,562.438,0.66453,1.37134,1.2323,0.43092,0.71565,0.59314,0.51063,0.56335,1.15877,1.23783,0.000983304,0.000983304,0.000983304
