epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.5902,0.94642,1.99528,1.46829,0.00952,0.5992,0.01448,0.00618,2.04084,18.9231,4.3925,0.0671692,0.000331624,0.000331624
2,140.517,0.90402,1.76627,1.4228,0.2613,0.71747,0.31699,0.19019,1.38351,1.71711,2.74018,0.0341691,0.000664846,0.000664846
3,208.039,0.82756,1.67336,1.3568,0.22764,0.67446,0.38087,0.30471,0.7201,1.65042,1.49298,0.00116856,0.00099762,0.00099762
4,275.614,0.79983,1.6219,1.33981,0.22514,0.65597,0.37244,0.28621,0.83978,1.6768,1.54332,0.000998489,0.000998489,0.000998489
5,342.815,0.77813,1.57493,1.32066,0.34717,0.67037,0.45702,0.35865,0.807,1.37655,1.53139,0.000997316,0.000997316,0.000997316
6,410.296,0.72688,1.52704,1.28044,0.41812,0.64186,0.4819,0.38827,0.73041,1.33279,1.44481,0.000995808,0.000995808,0.000995808
7,477.79,0.69791,1.49591,1.26006,0.33226,0.59196,0.41865,0.29136,1.08792,1.53132,1.66961,0.000993967,0.000993967,0.000993967
8,544.913,0.69389,1.46369,1.25177,0.38548,0.70376,0.48027,0.40608,0.62677,1.3367,1.3232,0.000991795,0.000991795,0.000991795
9,612.352,0.68395,1.4492,1.24634,0.38719,0.68091,0.51836,0.44127,0.59582,1.25281,1.28164,0.000989292,0.000989292,0.000989292
10,679.648,0.66854,1.43572,1.23654,0.44108,0.6805,0.54269,0.46234,0.60769,1.17692,1.2914,0.000986461,0.000986461,0.000986461
11,747.133,0.67943,1.41698,1.24106,0.42244,0.67761,0.52974,0.45341,0.58609,1.20837,1.24737,0.000983304,0.000983304,0.000983304
12,814.286,0.65564,1.40417,1.2266,0.44065,0.70846,0.57393,0.49411,0.57734,1.14363,1.24833,0.000979822,0.000979822,0.000979822
13,881.589,0.64117,1.38437,1.21223,0.45198,0.68694,0.58407,0.51239,0.53555,1.13746,1.21715,0.000976018,0.000976018,0.000976018
14,948.901,0.64242,1.36178,1.21629,0.43556,0.67345,0.58068,0.50582,0.5384,1.23916,1.21154,0.000971894,0.000971894,0.000971894
15,1016.02,0.63089,1.36064,1.20747,0.46179,0.6992,0.61705,0.53312,0.56215,1.08752,1.21791,0.000967454,0.000967454,0.000967454
16,1083.33,0.61971,1.34966,1.20015,0.48712,0.73445,0.62092,0.53986,0.55379,1.08523,1.21804,0.000962701,0.000962701,0.000962701
17,1150.59,0.61537,1.33265,1.19902,0.49684,0.69301,0.61192,0.53525,0.54503,1.08235,1.21422,0.000957637,0.000957637,0.000957637
18,1217.7,0.62229,1.33553,1.20145,0.55306,0.69153,0.64852,0.56816,0.54007,1.02544,1.20145,0.000952267,0.000952267,0.000952267
19,1285.08,0.61682,1.32455,1.19543,0.48976,0.66905,0.61688,0.54788,0.49205,1.14285,1.15745,0.000946593,0.000946593,0.000946593
20,1352.17,0.61422,1.30571,1.19549,0.56148,0.67096,0.65408,0.57897,0.50598,1.00577,1.16201,0.00094062,0.00094062,0.00094062
21,1419.57,0.60572,1.28379,1.18752,0.54675,0.68974,0.64628,0.56423,0.52949,1.05258,1.20336,0.000934352,0.000934352,0.000934352
