Model,Version,Size,Class,Precision,Recall,F1-Score,mAP50,mAP50-95
YOLOv12n,12,n,happy,0.7058,0.9196,0.7986,0.9105,0.8339
YOLOv12n,12,n,neutral,0.4542,0.8462,0.5911,0.6999,0.6302
YOLOv12n,12,n,sad,0.5530,0.5909,0.5713,0.6112,0.5512
YOLOv12n,12,n,surprise,0.5687,0.7172,0.6344,0.7417,0.6778
YOLOv12s,12,s,anger,0.6170,0.5868,0.6015,0.6563,0.5592
YOLOv12s,12,s,content,0.6735,0.7083,0.6905,0.7653,0.7149
YOLOv12s,12,s,disgust,0.6150,0.5000,0.5516,0.6187,0.5641
YOLOv12s,12,s,fear,0.7283,0.5800,0.6458,0.6965,0.6154
YOLOv12s,12,s,happy,0.6833,0.9286,0.7873,0.8991,0.8372
YOLOv12s,12,s,neutral,0.5319,0.7923,0.6365,0.6958,0.6345
YOLOv12s,12,s,sad,0.6187,0.5606,0.5882,0.5967,0.5370
YOLOv12s,12,s,surprise,0.5902,0.7420,0.6575,0.7213,0.6458
YOLOv12m,12,m,anger,0.5545,0.5702,0.5623,0.6172,0.5367
YOLOv12m,12,m,content,0.7168,0.6959,0.7062,0.7574,0.6965
YOLOv12m,12,m,disgust,0.7031,0.5192,0.5973,0.6549,0.5928
YOLOv12m,12,m,fear,0.7163,0.6000,0.6530,0.7274,0.6567
YOLOv12m,12,m,happy,0.7220,0.9107,0.8054,0.8953,0.8328
YOLOv12m,12,m,neutral,0.4896,0.7846,0.6029,0.7168,0.6546
YOLOv12m,12,m,sad,0.5241,0.5455,0.5346,0.5714,0.5075
YOLOv12m,12,m,surprise,0.6242,0.7273,0.6718,0.7336,0.6628
YOLOv12l,12,l,anger,0.5806,0.5950,0.5877,0.6426,0.5457
YOLOv12l,12,l,content,0.7499,0.7495,0.7497,0.7716,0.7244
YOLOv12l,12,l,disgust,0.7336,0.4519,0.5593,0.5832,0.5445
YOLOv12l,12,l,fear,0.7887,0.6200,0.6942,0.7430,0.6692
YOLOv12l,12,l,happy,0.6666,0.9286,0.7761,0.8986,0.8424
YOLOv12l,12,l,neutral,0.4938,0.8231,0.6173,0.6932,0.6351
YOLOv12l,12,l,sad,0.5696,0.5364,0.5525,0.6025,0.5417
YOLOv12l,12,l,surprise,0.5827,0.7576,0.6588,0.7377,0.6703
YOLOv8n,8,n,anger,0.5850,0.6406,0.6115,0.6828,0.5845
YOLOv8n,8,n,content,0.7371,0.7011,0.7187,0.7617,0.7048
YOLOv8n,8,n,disgust,0.6509,0.5379,0.5890,0.6591,0.5998
YOLOv8n,8,n,fear,0.6819,0.7400,0.7098,0.7397,0.6584
YOLOv8n,8,n,happy,0.6819,0.9464,0.7927,0.8840,0.8259
YOLOv8n,8,n,neutral,0.4974,0.7615,0.6017,0.6921,0.6294
YOLOv8n,8,n,sad,0.5466,0.5919,0.5684,0.6406,0.5661
YOLOv8n,8,n,surprise,0.6469,0.7172,0.6802,0.7605,0.6832
YOLOv8s,8,s,anger,0.5421,0.7107,0.6150,0.6730,0.5693
YOLOv8s,8,s,content,0.7105,0.7566,0.7328,0.7686,0.7059
YOLOv8s,8,s,disgust,0.6497,0.5577,0.6002,0.6581,0.5977
YOLOv8s,8,s,fear,0.6768,0.6600,0.6683,0.6872,0.6146
YOLOv8s,8,s,happy,0.6460,0.9286,0.7619,0.8677,0.8103
YOLOv8s,8,s,neutral,0.4452,0.8000,0.5721,0.7103,0.6459
YOLOv8s,8,s,sad,0.6494,0.4636,0.5410,0.6256,0.5640
YOLOv8s,8,s,surprise,0.5495,0.8009,0.6518,0.7390,0.6667
YOLOv8m,8,m,anger,0.5837,0.6777,0.6272,0.6679,0.5720
YOLOv8m,8,m,content,0.6770,0.6750,0.6760,0.7561,0.7096
YOLOv8m,8,m,disgust,0.6151,0.5071,0.5559,0.6372,0.5803
YOLOv8m,8,m,fear,0.7854,0.6300,0.6992,0.7478,0.6703
YOLOv8m,8,m,happy,0.6448,0.9286,0.7611,0.8829,0.8212
YOLOv8m,8,m,neutral,0.5362,0.7615,0.6293,0.7004,0.6385
YOLOv8m,8,m,sad,0.5391,0.5635,0.5510,0.6204,0.5450
YOLOv8m,8,m,surprise,0.6294,0.8063,0.7069,0.7829,0.7003
YOLOv8l,8,l,anger,0.6462,0.6529,0.6495,0.6892,0.5894
YOLOv8l,8,l,content,0.6359,0.7131,0.6723,0.7385,0.6984
YOLOv8l,8,l,disgust,0.6122,0.5288,0.5675,0.6323,0.5722
