Model,Version,Size,Class,Precision,Recall,F1-Score,mAP50,mAP50-95
YOLOv12s,12,s,sad,0.5422,0.6928,0.6083,0.6046,0.4714
YOLOv12s,12,s,surprise,0.6925,0.8245,0.7527,0.8153,0.6394
YOLOv12m,12,m,angry,0.6322,0.6609,0.6462,0.6761,0.5309
YOLOv12m,12,m,disgust,0.5557,0.5349,0.5451,0.4333,0.3280
YOLOv12m,12,m,fear,0.5305,0.4903,0.5096,0.5360,0.4204
YOLOv12m,12,m,happy,0.8976,0.8936,0.8956,0.9403,0.7635
YOLOv12m,12,m,neutral,0.6434,0.7108,0.6754,0.7143,0.5824
YOLOv12m,12,m,sad,0.5814,0.5913,0.5863,0.6060,0.4765
YOLOv12m,12,m,surprise,0.7335,0.7715,0.7520,0.8089,0.6355
YOLOv12l,12,l,angry,0.5714,0.6457,0.6063,0.6502,0.5024
YOLOv12l,12,l,disgust,0.3430,0.2791,0.3077,0.2843,0.2045
YOLOv12l,12,l,fear,0.4303,0.4868,0.4568,0.4778,0.3684
YOLOv12l,12,l,happy,0.8475,0.9130,0.8791,0.9417,0.7632
YOLOv12l,12,l,neutral,0.5831,0.7727,0.6646,0.7205,0.5860
YOLOv12l,12,l,sad,0.4982,0.6841,0.5765,0.5551,0.4360
YOLOv12l,12,l,surprise,0.6322,0.7967,0.7050,0.7868,0.6120
YOLOv8n,8,n,angry,0.5355,0.6957,0.6052,0.6593,0.5113
YOLOv8n,8,n,disgust,0.4153,0.3256,0.3650,0.3375,0.2214
YOLOv8n,8,n,fear,0.4244,0.5595,0.4827,0.4886,0.3791
YOLOv8n,8,n,happy,0.8314,0.9198,0.8734,0.9358,0.7494
YOLOv8n,8,n,neutral,0.5642,0.7862,0.6570,0.7231,0.5863
YOLOv8n,8,n,sad,0.5011,0.6702,0.5734,0.5634,0.4392
YOLOv8n,8,n,surprise,0.6441,0.8079,0.7168,0.7893,0.6209
YOLOv8s,8,s,angry,0.5674,0.6848,0.6206,0.6844,0.5355
YOLOv8s,8,s,disgust,0.5369,0.4585,0.4946,0.4477,0.3245
YOLOv8s,8,s,fear,0.4750,0.5507,0.5100,0.5223,0.4086
YOLOv8s,8,s,happy,0.8630,0.9130,0.8873,0.9369,0.7549
YOLOv8s,8,s,neutral,0.6083,0.7795,0.6833,0.7350,0.5949
YOLOv8s,8,s,sad,0.5083,0.6946,0.5870,0.5766,0.4504
YOLOv8s,8,s,surprise,0.7053,0.7925,0.7463,0.7827,0.6239
YOLOv8m,8,m,angry,0.5965,0.6826,0.6366,0.6800,0.5316
YOLOv8m,8,m,disgust,0.5732,0.6047,0.5885,0.5168,0.4100
YOLOv8m,8,m,fear,0.4724,0.5485,0.5076,0.5317,0.4185
YOLOv8m,8,m,happy,0.8647,0.9062,0.8850,0.9443,0.7623
