epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.359,1.17719,1.99022,1.71081,0.45651,0.34519,0.19327,0.11857,1.42038,2.11802,2.50653,0.000332872,0.000332872,0.0670457
2,516.711,1.11125,1.67507,1.63128,0.37499,0.46398,0.29951,0.18833,1.34922,1.70892,2.29104,0.000666093,0.000666093,0.0340456
3,747.259,1.05778,1.5932,1.58595,0.2397,0.52827,0.31956,0.20219,1.31846,1.57585,2.25991,0.000998867,0.000998867,0.00104504
4,976.984,1.02072,1.55719,1.55018,0.49953,0.57426,0.42284,0.29736,1.06094,1.20333,2.03986,0.000998489,0.000998489,0.000998489
5,1207.73,0.99232,1.50385,1.52718,0.33708,0.60352,0.44363,0.32419,0.97096,1.23992,1.90821,0.000997316,0.000997316,0.000997316
6,1438.26,0.96788,1.47668,1.51002,0.48744,0.58709,0.42925,0.30353,1.05219,1.26391,1.98077,0.000995808,0.000995808,0.000995808
7,1667.48,0.94734,1.45033,1.49216,0.49217,0.57332,0.4651,0.34847,0.94029,1.12599,1.85691,0.000993967,0.000993967,0.000993967
8,1897.2,0.93739,1.43348,1.48351,0.51765,0.59042,0.484,0.36584,0.89208,1.11825,1.79061,0.000991795,0.000991795,0.000991795
9,2129,0.92619,1.40996,1.47459,0.52802,0.61053,0.50276,0.37715,0.93936,1.03948,1.85164,0.000989292,0.000989292,0.000989292
10,2359.41,0.92098,1.40006,1.46816,0.41397,0.61507,0.50452,0.37831,0.91061,1.03697,1.84002,0.000986461,0.000986461,0.000986461
11,2589.43,0.91489,1.38694,1.4631,0.56038,0.56769,0.50766,0.38554,0.88717,1.01633,1.77804,0.000983304,0.000983304,0.000983304
12,2820.13,0.90386,1.36999,1.4553,0.56483,0.60601,0.53145,0.40761,0.88113,0.98523,1.76154,0.000979822,0.000979822,0.000979822
13,3050.17,0.89373,1.35617,1.44657,0.45626,0.61079,0.5311,0.3979,0.9149,1.00105,1.83308,0.000976018,0.000976018,0.000976018
14,3280.46,0.88671,1.34996,1.44169,0.46291,0.62979,0.53162,0.40682,0.87204,0.96877,1.78967,0.000971894,0.000971894,0.000971894
15,3511.55,0.87946,1.33949,1.43673,0.57025,0.57728,0.52362,0.39914,0.88501,0.9979,1.77513,0.000967454,0.000967454,0.000967454
16,3741.13,0.87985,1.33404,1.43685,0.48366,0.61034,0.55628,0.42989,0.8573,0.93919,1.7328,0.000962701,0.000962701,0.000962701
17,3971.28,0.87362,1.32129,1.43223,0.57393,0.60419,0.55475,0.42215,0.87443,0.99409,1.76712,0.000957637,0.000957637,0.000957637
18,4201.05,0.8678,1.30328,1.42719,0.46688,0.64857,0.55965,0.42621,0.88153,0.95194,1.77172,0.000952267,0.000952267,0.000952267
19,4430.97,0.86185,1.29992,1.42098,0.59725,0.59498,0.55586,0.42828,0.86651,0.94538,1.72989,0.000946593,0.000946593,0.000946593
20,4661.44,0.85723,1.30401,1.41896,0.48354,0.65573,0.57513,0.44577,0.84027,0.91645,1.73433,0.00094062,0.00094062,0.00094062
21,4892.66,0.85642,1.28803,1.41838,0.51887,0.65308,0.5899,0.4565,0.84642,0.90523,1.74228,0.000934352,0.000934352,0.000934352
22,5126.49,0.84631,1.29377,1.41187,0.51028,0.673,0.59241,0.4589,0.83437,0.90202,1.71591,0.000927794,0.000927794,0.000927794
23,5364.02,0.84576,1.28145,1.41191,0.49533,0.65833,0.5915,0.45791,0.84577,0.90249,1.72641,0.000920949,0.000920949,0.000920949
24,5601.24,0.83571,1.27004,1.4046,0.55649,0.63547,0.60241,0.46863,0.83321,0.89081,1.71175,0.000913822,0.000913822,0.000913822
25,5838.39,0.84484,1.26931,1.40797,0.54106,0.65284,0.60273,0.47021,0.83237,0.88963,1.70983,0.000906418,0.000906418,0.000906418
26,6075.71,0.83539,1.25723,1.40094,0.54533,0.6484,0.6076,0.47161,0.83977,0.88103,1.73278,0.000898743,0.000898743,0.000898743
27,6313.59,0.83309,1.25404,1.40067,0.54655,0.64333,0.61607,0.47992,0.83598,0.87727,1.72442,0.000890802,0.000890802,0.000890802
28,6550.62,0.83015,1.25351,1.39768,0.55323,0.66142,0.61471,0.48036,0.82124,0.88003,1.707,0.000882599,0.000882599,0.000882599
