epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.612,1.06608,1.99773,1.64261,0.36439,0.62094,0.2267,0.107,1.6175,2.15252,2.86773,0.000332872,0.000332872,0.0670457
2,267.54,1.01582,1.68169,1.58389,0.34437,0.60553,0.3206,0.16159,1.62417,1.813,2.59576,0.000666093,0.000666093,0.0340456
3,380.825,0.97392,1.60192,1.54941,0.4221,0.5176,0.35402,0.22313,1.25914,1.52742,2.18671,0.000998867,0.000998867,0.00104504
4,493.574,0.95119,1.56103,1.52733,0.4794,0.60281,0.42239,0.28313,1.12234,1.32412,2.1603,0.000998489,0.000998489,0.000998489
5,606.878,0.92612,1.51004,1.50593,0.38585,0.63675,0.40427,0.27481,1.12402,1.46108,2.11268,0.000997316,0.000997316,0.000997316
6,719.878,0.91324,1.48297,1.49499,0.49132,0.59384,0.4504,0.32717,1.00328,1.24572,1.97612,0.000995808,0.000995808,0.000995808
7,833.223,0.90202,1.45696,1.48345,0.50221,0.58798,0.45627,0.31947,1.05547,1.2308,2.0825,0.000993967,0.000993967,0.000993967
8,945.935,0.88955,1.44305,1.47382,0.5051,0.58606,0.45531,0.33316,0.96531,1.27413,1.93718,0.000991795,0.000991795,0.000991795
9,1058.74,0.88146,1.42398,1.46658,0.54636,0.59678,0.4914,0.3678,0.93782,1.12017,1.87523,0.000989292,0.000989292,0.000989292
10,1171.45,0.87875,1.41632,1.46221,0.53441,0.59,0.49612,0.36627,0.9533,1.12508,1.89441,0.000986461,0.000986461,0.000986461
11,1284.47,0.87157,1.4094,1.45596,0.52751,0.59329,0.4934,0.36889,0.92248,1.11658,1.87578,0.000983304,0.000983304,0.000983304
12,1397.16,0.86592,1.3972,1.45157,0.55578,0.58974,0.50915,0.3775,0.97682,1.09822,1.89512,0.000979822,0.000979822,0.000979822
13,1510.53,0.85772,1.38745,1.44498,0.4674,0.59638,0.51275,0.38672,0.89142,1.11064,1.82312,0.000976018,0.000976018,0.000976018
14,1623.65,0.85457,1.37672,1.44176,0.5369,0.62203,0.52515,0.40099,0.87691,1.04505,1.81433,0.000971894,0.000971894,0.000971894
15,1735.84,0.84859,1.36606,1.43596,0.56453,0.5602,0.51605,0.37822,0.97845,1.11333,1.90867,0.000967454,0.000967454,0.000967454
16,1848.72,0.84798,1.36469,1.43686,0.56579,0.6028,0.53525,0.41102,0.86549,1.0288,1.77246,0.000962701,0.000962701,0.000962701
17,1961.42,0.84401,1.36153,1.43478,0.60354,0.57828,0.54174,0.41383,0.86458,1.02429,1.78911,0.000957637,0.000957637,0.000957637
18,2074.79,0.83922,1.34425,1.4298,0.45475,0.64678,0.55261,0.41994,0.87406,1.00178,1.80105,0.000952267,0.000952267,0.000952267
19,2188.22,0.83587,1.3397,1.42512,0.43779,0.6115,0.54666,0.4187,0.85246,1.01561,1.81268,0.000946593,0.000946593,0.000946593
20,2301.23,0.83269,1.34072,1.42493,0.43383,0.6849,0.55099,0.42164,0.85945,1.00288,1.81331,0.00094062,0.00094062,0.00094062
21,2414.5,0.82944,1.32972,1.42211,0.45468,0.65422,0.56401,0.43401,0.85841,0.9903,1.8232,0.000934352,0.000934352,0.000934352
22,2527.72,0.83042,1.32755,1.42081,0.4437,0.67787,0.56266,0.42997,0.86862,0.9926,1.81533,0.000927794,0.000927794,0.000927794
23,2640.14,0.82727,1.32203,1.41901,0.46364,0.65117,0.56529,0.43442,0.86786,0.97602,1.77732,0.000920949,0.000920949,0.000920949
24,2752.71,0.81874,1.30894,1.41374,0.47524,0.67872,0.57414,0.4435,0.85103,0.97257,1.77853,0.000913822,0.000913822,0.000913822
25,2866.57,0.82129,1.31569,1.41347,0.46749,0.67271,0.57788,0.44562,0.85521,0.9708,1.7943,0.000906418,0.000906418,0.000906418
26,2979.87,0.81944,1.3088,1.4107,0.4951,0.67154,0.58768,0.45185,0.85318,0.95744,1.7752,0.000898743,0.000898743,0.000898743
27,3092.59,0.81642,1.3006,1.41092,0.48235,0.67532,0.58532,0.45051,0.84911,0.95767,1.76388,0.000890802,0.000890802,0.000890802
28,3205.39,0.81117,1.30652,1.40663,0.51124,0.65803,0.59292,0.45941,0.83543,0.9497,1.76608,0.000882599,0.000882599,0.000882599
29,3317.98,0.80617,1.28541,1.40311,0.49952,0.64749,0.58992,0.45683,0.83742,0.95278,1.77507,0.000874141,0.000874141,0.000874141
30,3431.12,0.80788,1.29112,1.40342,0.50576,0.65588,0.59304,0.45919,0.84633,0.95221,1.78208,0.000865433,0.000865433,0.000865433
31,3543.43,0.80652,1.28806,1.40185,0.50819,0.66003,0.59377,0.45993,0.84211,0.94697,1.75926,0.000856482,0.000856482,0.000856482
32,3656.52,0.8065,1.28262,1.40161,0.50891,0.65271,0.59818,0.46415,0.83765,0.94295,1.76899,0.000847294,0.000847294,0.000847294
33,3770.19,0.80547,1.28271,1.39999,0.51675,0.66378,0.60113,0.46624,0.83417,0.94023,1.77319,0.000837874,0.000837874,0.000837874
34,3883.4,0.8014,1.27619,1.39801,0.5324,0.63777,0.60354,0.46942,0.82745,0.93615,1.75728,0.00082823,0.00082823,0.00082823
35,3996.32,0.80127,1.27603,1.39702,0.52781,0.65366,0.60542,0.47062,0.82745,0.93483,1.75287,0.000818367,0.000818367,0.000818367
36,4108.56,0.79632,1.25899,1.39278,0.53055,0.65882,0.60567,0.47042,0.83302,0.93397,1.75411,0.000808293,0.000808293,0.000808293
37,4220.71,0.79676,1.26819,1.39262,0.52557,0.65617,0.60643,0.47094,0.83314,0.93203,1.74539,0.000798015,0.000798015,0.000798015
38,4333.15,0.79197,1.25781,1.39065,0.53197,0.6416,0.60784,0.47222,0.8306,0.93128,1.74117,0.000787539,0.000787539,0.000787539
39,4446.48,0.78585,1.25382,1.38611,0.5373,0.64532,0.60904,0.47266,0.83153,0.93015,1.74685,0.000776873,0.000776873,0.000776873
40,4559.35,0.79102,1.25022,1.38887,0.54034,0.643,0.61058,0.47427,0.82972,0.92884,1.74855,0.000766024,0.000766024,0.000766024
41,4673.1,0.79036,1.25441,1.38885,0.53218,0.64855,0.61135,0.47543,0.82766,0.92701,1.74176,0.000755,0.000755,0.000755
42,4786.06,0.78671,1.24989,1.38444,0.53433,0.64203,0.61276,0.47646,0.82485,0.92691,1.74154,0.000743808,0.000743808,0.000743808
43,4899.32,0.786,1.24622,1.38569,0.53622,0.64834,0.61305,0.47671,0.82496,0.92637,1.7433,0.000732455,0.000732455,0.000732455
44,5012.33,0.78264,1.24206,1.38254,0.5324,0.65447,0.61326,0.47732,0.82344,0.92464,1.74319,0.00072095,0.00072095,0.00072095
45,5125.44,0.7866,1.24743,1.38609,0.52576,0.66567,0.61418,0.47808,0.82133,0.92283,1.7393,0.000709301,0.000709301,0.000709301
46,5238.69,0.7782,1.23493,1.3785,0.53314,0.66097,0.6142,0.47816,0.82014,0.92247,1.73568,0.000697515,0.000697515,0.000697515
47,5352.36,0.77862,1.22965,1.37752,0.52899,0.66872,0.61477,0.47875,0.81913,0.92173,1.73468,0.0006856,0.0006856,0.0006856
48,5465.04,0.77643,1.22725,1.37824,0.53249,0.66639,0.61626,0.4795,0.81823,0.92173,1.73376,0.000673565,0.000673565,0.000673565
49,5578.09,0.78016,1.22533,1.38062,0.53334,0.66733,0.61599,0.47944,0.81782,0.92115,1.73279,0.000661418,0.000661418,0.000661418
50,5690.98,0.77383,1.2288,1.37613,0.53456,0.66801,0.61636,0.47969,0.81746,0.92101,1.73026,0.000649168,0.000649168,0.000649168
51,5804.27,0.77523,1.22562,1.37484,0.53556,0.66709,0.61646,0.47987,0.81701,0.92031,1.72914,0.000636821,0.000636821,0.000636821
